"city","country","tier","popularityScore","recommendedStayDays","airportCount","outgoingConnections"
"Philipsburg","Netherlands Antilles","standard","43","2","1","46"
"Willemstad","Netherlands Antilles","standard","42","2","1","29"
"Noumea","New Caledonia","standard","41","2","1","13"
"Auckland","New Zealand","standard","45","2","1","79"
"Christchurch","New Zealand","standard","42","2","1","23"
"Hamilton","New Zealand","standard","40","2","1","3"
"Queenstown International","New Zealand","standard","40","2","1","7"
"Wellington","New Zealand","standard","41","2","1","18"
"Managua","Nicaragua","standard","41","2","1","15"
"Agadez","Niger","standard","40","2","1","0"
"Niamey","Niger","standard","41","2","1","17"
"Abuja","Nigeria","standard","41","2","1","22"
"Asaba","Nigeria","standard","40","2","1","2"
"Bauchi","Nigeria","standard","40","2","1","0"
"Gombe","Nigeria","standard","40","2","1","1"
"Ilorin","Nigeria","standard","40","2","1","1"
"Kano","Nigeria","standard","40","2","1","7"
"Lagos","Nigeria","standard","43","2","1","52"
"Maiduguri","Nigeria","standard","40","2","1","0"
"Port Hartcourt","Nigeria","standard","41","2","1","8"
"Sokoto","Nigeria","standard","40","2","1","1"
"Uyo","Nigeria","standard","40","2","1","1"
"Alofi","Niue","standard","40","2","1","1"
"Norfolk Island","Norfolk Island","standard","40","2","1","3"
"Pyongyang","North Korea","standard","40","2","1","5"
"Wonsan","North Korea","standard","40","2","1","0"
"Rota","Northern Mariana Islands","standard","40","2","1","2"
"Saipan","Northern Mariana Islands","standard","41","2","1","10"
"West Tinian","Northern Mariana Islands","standard","40","2","1","0"
"Bergen","Norway","standard","43","2","1","50"
"Oslo","Norway","standard","48","2","1","127"
"Stavanger","Norway","standard","42","2","1","37"
"Trondheim","Norway","standard","42","2","1","25"
"Duqm","Oman","standard","40","2","1","0"
"Muscat","Oman","standard","47","2","1","101"
"Faisalabad","Pakistan","standard","40","2","1","2"
"Gwadar","Pakistan","standard","40","2","1","3"
"Islamabad","Pakistan","standard","43","2","1","50"
"Karachi","Pakistan","standard","44","2","1","55"
"Lahore","Pakistan","standard","43","2","1","51"
"Multan","Pakistan","standard","41","2","1","12"
"Peshawar","Pakistan","standard","42","2","1","28"
"Quetta","Pakistan","standard","41","2","1","13"
"Sialkot","Pakistan","standard","41","2","1","11"
"Turbat","Pakistan","standard","40","2","1","5"
"Babelthuap","Palau","standard","41","2","1","10"
"Gaza","Palestine","standard","40","2","1","0"
"Bocas Del Toro","Panama","standard","40","2","1","2"
"Changuinola","Panama","standard","40","2","1","1"
"David","Panama","standard","40","2","1","2"
"Howard","Panama","standard","40","2","1","0"
"Panama","Panama","standard","40","2","1","3"
"Panama City","Panama","standard","47","2","1","103"
"Rio Hato","Panama","standard","40","2","1","0"
"Port Moresby","Papua New Guinea","standard","41","2","1","17"
"Wewak","Papua New Guinea","standard","40","2","1","1"
"Asuncion","Paraguay","standard","41","2","1","18"
"Ciudad del Este","Paraguay","standard","40","2","1","4"
"Mariscal Estigarribia","Paraguay","standard","40","2","1","0"
"Pedro Juan Caballero","Paraguay","standard","40","2","1","0"
"Arequipa","Peru","standard","41","2","1","9"
"Chiclayo","Peru","standard","40","2","1","1"
"Cuzco","Peru","standard","41","2","1","9"
"Iquitos","Peru","standard","40","2","1","5"
"Juliaca","Peru","standard","40","2","1","7"
"Lima","Peru","standard","46","2","1","97"
"Pucallpa","Peru","standard","40","2","1","5"
"Trujillo","Peru","standard","40","2","1","1"
"Angeles City","Philippines","standard","41","2","1","13"
