id,ident,name,lat,lon,country,municipality
102,YPE,Peace River Airport,56.226898,-117.446999,Canada,Peace River
103,YPG,Southport Airport,49.903099,-98.273817,Canada,Portage-la-prairie
104,\N,Pitt Meadows Airport,49.21609878540039,-122.70999908447266,Canada,Pitt Meadows
105,YPL,Pickle Lake Airport,51.4463996887207,-90.21420288085938,Canada,Pickle Lake
106,YPN,Port Menier Airport,49.83639907836914,-64.2885971069336,Canada,Port Menier
107,YPQ,Peterborough Airport,44.22999954223633,-78.36329650878906,Canada,Peterborough
108,YPR,Prince Rupert Airport,54.286098480199996,-130.445007324,Canada,Prince Pupert
109,YPY,Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,Canada,Fort Chipewyan
110,YQA,Muskoka Airport,44.974700927734375,-79.30329895019531,Canada,Muskoka
111,YQB,Quebec Jean Lesage International Airport,46.7911,-71.393303,Canada,Quebec
112,YQF,Red Deer Regional Airport,52.18220138549805,-113.89399719238281,Canada,Red Deer Industrial
113,YQG,Windsor Airport,42.27560043334961,-82.95559692382812,Canada,Windsor
114,YQH,Watson Lake Airport,60.11640167236328,-128.82200622558594,Canada,Watson Lake
115,YQK,Kenora Airport,49.788299560546875,-94.36309814453125,Canada,Kenora
116,YQL,Lethbridge County Airport,49.6302986145,-112.800003052,Canada,Lethbridge
117,YQM,Greater Moncton International Airport,46.11220169067383,-64.67859649658203,Canada,Moncton
119,YQQ,Comox Airport,49.71080017089844,-124.88700103759766,Canada,Comox
120,YQR,Regina International Airport,50.43190002441406,-104.66600036621094,Canada,Regina
121,YQT,Thunder Bay Airport,48.37189865112305,-89.32389831542969,Canada,Thunder Bay
122,YQU,Grande Prairie Airport,55.1796989441,-118.885002136,Canada,Grande Prairie
123,YQV,Yorkton Municipal Airport,51.26470184326172,-102.46199798583984,Canada,Yorkton
124,YQW,North Battleford Airport,52.76919937133789,-108.24400329589844,Canada,North Battleford
125,YQX,Gander International Airport,48.9369010925293,-54.56809997558594,Canada,Gander
126,YQY,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,Canada,Sydney
127,YQZ,Quesnel Airport,53.026100158691406,-122.51000213623047,Canada,Quesnel
128,YRB,Resolute Bay Airport,74.7169036865,-94.9693984985,Canada,Resolute
129,YRI,Rivière-du-Loup Airport,47.764400482177734,-69.58470153808594,Canada,Riviere Du Loup
130,YRJ,Roberval Airport,48.52000045776367,-72.2656021118164,Canada,Roberval
131,YRM,Rocky Mountain House Airport,52.4296989441,-114.903999329,Canada,Rocky Mountain House
132,YRT,Rankin Inlet Airport,62.8114013672,-92.1157989502,Canada,Rankin Inlet
133,YSB,Sudbury Airport,46.625,-80.79889678955078,Canada,Sudbury
134,YSC,Sherbrooke Airport,45.4385986328125,-71.69139862060547,Canada,Sherbrooke
135,YSJ,Saint John Airport,45.31610107421875,-65.89029693603516,Canada,St. John
136,YSM,Fort Smith Airport,60.020301818847656,-111.96199798583984,Canada,Fort Smith
137,YSR,Nanisivik Airport,72.982201,-84.613602,Canada,Nanisivik
138,YSU,Summerside Airport,46.44060134887695,-63.83359909057617,Canada,Summerside
